array,Easy,1,No,https://practice.geeksforgeeks.org/problems/search-an-element-in-an-array-1587115621/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Arrays&sortBy=submissions
Array,Check if two arrays are equal or not,Easy,1,No,https://practice.geeksforgeeks.org/problems/check-if-two-arrays-are-equal-or-not3847/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Arrays&sortBy=submissions
Array,Missing element of AP,Easy,1,No,https://practice.geeksforgeeks.org/problems/missing-element-of-ap2228/1?page=2&difficulty%5B%5D=0&status%5B%5D=solved&category%5B%5D=Arrays&sortBy=submissions
Array,Cyclically rotate an array by one,Easy,1,No,https://practice.geeksforgeeks.org/problems/cyclically-rotate-an-array-by-one2614/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Arrays&sortBy=submissions
Array,Find minimum and maximum element in an array,Easy,2,No,https://practice.geeksforgeeks.org/problems/find-minimum-and-maximum-element-in-an-array4428/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Arrays&sortBy=submissions
Array,Binary Array Sorting,Easy,2,No,https://practice.geeksforgeeks.org/problems/binary-array-sorting-1587115620/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Arrays&sortBy=submissions
Array,Move all negative elements to end,Easy,2,No,https://practice.geeksforgeeks.org/problems/move-all-negative-elements-to-end1813/1?page=2&difficulty%5B%5D=0&category%5B%5D=Arrays&sortBy=submissions
Array,Missing number,Easy,2,No,https://practice.geeksforgeeks.org/problems/missing-number4257/1?page=2&difficulty%5B%5D=-1&category%5B%5D=Arrays&sortBy=submissions
Array,Search Element in Matrix,Easy,3,No,https://leetcode.com/problems/search-a-2d-matrix/
Array,Find the fine,Easy,3,No,https://practice.geeksforgeeks.org/problems/find-the-fine4353/1?page=3&difficulty%5B%5D=-1&category%5B%5D=Arrays&sortBy=submissions
Array,Greater on right side,Easy,3,No,https://practice.geeksforgeeks.org/problems/greater-on-right-side4305/1?page=3&difficulty%5B%5D=-1&category%5B%5D=Arrays&sortBy=submissions
Array,Remove duplicate elements from sorted Array,Easy,3,No,https://practice.geeksforgeeks.org/problems/remove-duplicate-elements-from-sorted-array/1?page=1&difficulty%5B%5D=0&category%5B%5D=Arrays&sortBy=submissions
Array,Subarray with given sum,Easy,4,No,https://practice.geeksforgeeks.org/problems/subarray-with-given-sum-1587115621/1?page=1&difficulty%5B%5D=0&category%5B%5D=Arrays&sortBy=submissions
Array,"Sort an array of 0s, 1s and 2s",Easy,4,No,https://practice.geeksforgeeks.org/problems/sort-an-array-of-0s-1s-and-2s4231/1?page=1&difficulty%5B%5D=0&category%5B%5D=Arrays&sortBy=submissions
Array,Equilibrium Point,Easy,4,No,https://practice.geeksforgeeks.org/problems/equilibrium-point-1587115620/1?page=1&difficulty%5B%5D=0&category%5B%5D=Arrays&sortBy=submissions
Array,Peak element,Easy,4,No,https://practice.geeksforgeeks.org/problems/peak-element/1?page=1&difficulty%5B%5D=0&category%5B%5D=Arrays&sortBy=submissions
